Class (label),school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
1,0.0,1.0,16,1.0,1.0,1.0,5,5,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8
0,0.0,0.0,15,1.0,1.0,1.0,4,5,3.0,1.0,1.0,2.0,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0
0,0.0,0.0,15,0.0,1.0,1.0,2,2,5.0,2.0,1.0,1.0,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0
1,0.0,0.0,17,0.0,0.0,1.0,3,3,2.0,2.0,1.0,2.0,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12
0,0.0,0.0,16,0.0,1.0,0.0,4,5,3.0,2.0,1.0,2.0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16
0,0.0,1.0,15,1.0,1.0,1.0,4,5,5.0,1.0,1.0,1.0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0
0,0.0,0.0,15,0.0,1.0,1.0,5,5,3.0,5.0,1.0,1.0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0
0,0.0,1.0,17,1.0,1.0,1.0,4,5,5.0,2.0,1.0,1.0,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0
0,0.0,0.0,16,0.0,1.0,0.0,4,4,2.0,2.0,1.0,3.0,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0
1,0.0,1.0,16,0.0,0.0,1.0,2,2,3.0,2.0,1.0,1.0,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0
1,0.0,0.0,15,0.0,1.0,1.0,5,5,1.0,1.0,1.0,1.0,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0
0,0.0,1.0,15,0.0,1.0,1.0,5,4,1.0,3.0,1.0,2.0,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0
0,0.0,1.0,16,0.0,0.0,1.0,3,3,3.0,3.0,4.0,2.0,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8
0,0.0,0.0,15,0.0,1.0,1.0,5,5,1.0,3.0,1.0,1.0,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2
1,0.0,0.0,16,0.0,0.0,1.0,2,2,5.0,5.0,1.0,1.0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2
0,0.0,1.0,17,0.0,1.0,1.0,3,2,2.0,2.0,3.0,1.0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0
0,0.0,0.0,15,0.0,1.0,1.0,2,2,2.0,3.0,1.0,2.0,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0
0,0.0,0.0,15,0.0,1.0,1.0,4,3,4.0,3.0,3.0,2.0,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0
0,0.0,0.0,15,0.0,1.0,1.0,2,3,5.0,2.0,1.0,1.0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2
0,0.0,1.0,16,0.0,1.0,1.0,5,5,1.0,1.0,1.0,1.0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0
0,0.0,1.0,15,0.0,0.0,0.0,3,2,3.0,2.0,1.0,1.0,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0
0,0.0,1.0,18,0.0,0.0,1.0,2,2,2.0,2.0,1.0,1.0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0
1,0.0,1.0,16,0.0,0.0,1.0,3,2,5.0,2.0,1.0,1.0,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6
0,0.0,0.0,15,1.0,1.0,1.0,4,4,3.0,3.0,4.0,3.0,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8
0,0.0,1.0,19,0.0,1.0,1.0,4,3,3.0,5.0,3.0,1.0,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0
1,0.0,0.0,17,0.0,1.0,1.0,5,5,2.0,1.0,1.0,1.0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0
0,0.0,1.0,15,1.0,1.0,1.0,3,4,5.0,3.0,1.0,1.0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2
1,0.0,1.0,17,1.0,0.0,1.0,2,3,2.0,2.0,4.0,1.0,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8
0,0.0,0.0,18,1.0,1.0,1.0,2,2,5.0,2.0,1.0,1.0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6
1,0.0,1.0,16,1.0,1.0,1.0,3,3,5.0,2.0,1.0,1.0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2
1,0.0,1.0,16,0.0,1.0,1.0,4,4,2.0,3.0,1.0,2.0,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4
0,0.0,1.0,17,1.0,0.0,1.0,3,2,5.0,2.0,1.0,1.0,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0
0,0.0,1.0,15,1.0,1.0,1.0,4,3,2.0,2.0,1.0,1.0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6
0,0.0,1.0,16,0.0,0.0,1.0,2,3,2.0,2.0,1.0,1.0,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0
0,0.0,1.0,17,0.0,1.0,1.0,2,4,5.0,3.0,1.0,2.0,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2
0,0.0,1.0,17,1.0,0.0,1.0,2,2,2.0,3.0,1.0,1.0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0
1,0.0,1.0,16,0.0,1.0,1.0,4,3,3.0,3.0,1.0,1.0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16
0,0.0,1.0,16,0.0,1.0,1.0,3,3,2.0,2.0,1.0,2.0,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4
1,0.0,0.0,16,0.0,1.0,1.0,5,3,4.0,3.0,3.0,2.0,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0
0,0.0,0.0,16,0.0,1.0,1.0,3,3,2.0,2.0,3.0,1.0,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0
1,0.0,0.0,16,0.0,1.0,1.0,5,5,4.0,4.0,4.0,1.0,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0
0,0.0,1.0,16,0.0,1.0,1.0,4,5,2.0,2.0,1.0,2.0,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0
1,0.0,1.0,16,0.0,1.0,1.0,2,1,2.0,2.0,4.0,1.0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2
0,0.0,1.0,17,0.0,0.0,1.0,5,5,1.0,2.0,4.0,1.0,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0
0,0.0,0.0,16,0.0,1.0,1.0,2,4,5.0,3.0,3.0,1.0,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0
0,0.0,0.0,16,0.0,0.0,1.0,4,4,2.0,2.0,4.0,1.0,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4
0,0.0,1.0,17,0.0,0.0,1.0,5,4,1.0,2.0,1.0,1.0,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4
0,0.0,0.0,16,0.0,1.0,1.0,3,3,3.0,2.0,4.0,1.0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2
0,0.0,1.0,17,0.0,1.0,1.0,4,4,2.0,2.0,4.0,2.0,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4
0,0.0,1.0,16,1.0,1.0,1.0,5,3,1.0,3.0,2.0,1.0,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10
0,0.0,1.0,17,0.0,1.0,1.0,5,4,2.0,2.0,1.0,1.0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4
0,0.0,1.0,16,0.0,1.0,1.0,5,4,1.0,2.0,3.0,1.0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10
1,0.0,1.0,16,0.0,1.0,1.0,4,4,3.0,2.0,3.0,1.0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2
1,0.0,0.0,17,0.0,1.0,1.0,3,5,3.0,3.0,4.0,2.0,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0
0,0.0,0.0,17,0.0,0.0,1.0,4,4,2.0,2.0,4.0,1.0,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56
1,0.0,0.0,16,0.0,1.0,1.0,4,3,2.0,2.0,4.0,1.0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14
0,0.0,1.0,17,0.0,1.0,1.0,4,4,3.0,3.0,2.0,1.0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12
0,0.0,1.0,16,0.0,1.0,1.0,2,3,3.0,3.0,2.0,1.0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2
1,0.0,1.0,16,0.0,0.0,1.0,3,2,2.0,2.0,1.0,1.0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0
0,0.0,0.0,17,0.0,1.0,0.0,4,4,4.0,2.0,4.0,1.0,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6
0,0.0,1.0,17,1.0,1.0,1.0,2,3,5.0,2.0,3.0,1.0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4
1,0.0,0.0,16,0.0,1.0,1.0,3,4,3.0,3.0,1.0,1.0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10
0,0.0,0.0,17,0.0,1.0,1.0,2,2,5.0,3.0,1.0,1.0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0
0,0.0,1.0,17,0.0,1.0,1.0,2,3,5.0,3.0,2.0,3.0,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12
0,0.0,1.0,16,1.0,1.0,1.0,4,4,3.0,3.0,4.0,1.0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8
1,0.0,1.0,16,0.0,1.0,1.0,3,4,2.0,2.0,3.0,2.0,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0
1,0.0,0.0,17,0.0,0.0,1.0,3,5,3.0,3.0,1.0,2.0,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0
1,0.0,1.0,17,0.0,1.0,1.0,5,5,3.0,1.0,3.0,1.0,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4
0,0.0,1.0,16,1.0,0.0,1.0,4,4,1.0,2.0,3.0,2.0,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8
1,0.0,0.0,17,0.0,1.0,1.0,5,5,3.0,1.0,3.0,1.0,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24
0,0.0,0.0,16,0.0,0.0,1.0,5,5,1.0,1.0,4.0,1.0,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0
1,0.0,0.0,16,0.0,1.0,1.0,5,4,4.0,2.0,3.0,1.0,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2
0,0.0,0.0,16,0.0,1.0,1.0,3,4,2.0,2.0,4.0,1.0,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6
0,0.0,0.0,17,0.0,1.0,1.0,2,2,2.0,2.0,1.0,1.0,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4
0,0.0,0.0,17,1.0,1.0,1.0,3,3,2.0,2.0,4.0,1.0,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18
0,0.0,0.0,16,1.0,1.0,1.0,3,3,3.0,3.0,4.0,1.0,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6
0,0.0,0.0,17,0.0,1.0,1.0,4,5,5.0,3.0,3.0,1.0,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28
0,0.0,0.0,16,0.0,1.0,0.0,4,2,3.0,2.0,1.0,1.0,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5
1,0.0,0.0,16,0.0,1.0,1.0,5,4,1.0,2.0,2.0,1.0,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10
0,0.0,0.0,16,0.0,1.0,1.0,2,2,5.0,2.0,3.0,1.0,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6
0,0.0,0.0,17,1.0,1.0,1.0,5,4,1.0,2.0,4.0,1.0,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6
0,0.0,0.0,19,0.0,1.0,1.0,4,4,2.0,2.0,4.0,3.0,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10
1,0.0,1.0,17,0.0,0.0,1.0,5,5,3.0,2.0,3.0,1.0,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13
1,0.0,0.0,16,0.0,1.0,0.0,3,3,2.0,2.0,4.0,1.0,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0
0,0.0,1.0,18,0.0,1.0,1.0,3,3,3.0,2.0,3.0,1.0,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15
0,0.0,0.0,17,1.0,0.0,1.0,5,5,3.0,2.0,2.0,1.0,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12
1,0.0,0.0,17,0.0,0.0,1.0,4,3,2.0,2.0,4.0,1.0,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2
0,0.0,0.0,17,0.0,1.0,1.0,5,4,2.0,2.0,4.0,1.0,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22
0,0.0,1.0,18,0.0,0.0,1.0,4,4,3.0,4.0,3.0,2.0,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13
0,0.0,0.0,17,0.0,1.0,1.0,3,4,5.0,2.0,3.0,2.0,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3
0,0.0,0.0,17,0.0,1.0,1.0,3,3,5.0,5.0,1.0,1.0,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4
0,0.0,0.0,17,1.0,1.0,1.0,3,2,5.0,3.0,4.0,1.0,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2
0,0.0,0.0,17,0.0,1.0,1.0,2,2,5.0,2.0,4.0,1.0,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0
1,0.0,0.0,16,0.0,1.0,1.0,3,4,3.0,1.0,2.0,1.0,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2
1,0.0,1.0,18,0.0,1.0,1.0,3,3,2.0,2.0,3.0,1.0,2,2,0,0,1,1,0,1,1,1,0,3,3,3,5,5,4,0
1,0.0,0.0,16,0.0,1.0,1.0,5,5,1.0,3.0,3.0,1.0,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0
0,0.0,0.0,18,1.0,1.0,1.0,4,2,2.0,2.0,4.0,1.0,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16
1,0.0,0.0,17,0.0,1.0,1.0,4,3,2.0,2.0,1.0,1.0,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10
1,0.0,1.0,17,0.0,0.0,1.0,3,4,3.0,3.0,4.0,2.0,1,2,0,0,1,1,0,0,1,1,0,5,3,3,1,3,3,2
0,0.0,1.0,18,0.0,0.0,1.0,3,2,5.0,2.0,1.0,1.0,4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14
1,0.0,0.0,17,0.0,1.0,0.0,3,2,2.0,2.0,1.0,1.0,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10
1,0.0,0.0,17,0.0,0.0,1.0,5,4,4.0,2.0,4.0,2.0,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14
0,0.0,1.0,17,1.0,1.0,1.0,3,3,2.0,2.0,1.0,2.0,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4
0,0.0,1.0,17,0.0,1.0,1.0,5,5,1.0,1.0,4.0,1.0,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14
1,0.0,1.0,16,0.0,1.0,1.0,5,5,4.0,2.0,4.0,2.0,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2
0,0.0,1.0,16,0.0,0.0,1.0,2,2,2.0,2.0,3.0,1.0,2,2,0,0,1,1,0,1,1,1,0,3,4,2,1,1,5,18
0,0.0,1.0,16,0.0,1.0,1.0,4,3,5.0,2.0,4.0,1.0,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,10
1,0.0,1.0,17,0.0,0.0,1.0,3,3,2.0,2.0,3.0,2.0,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4
1,0.0,0.0,16,0.0,1.0,1.0,3,2,2.0,2.0,3.0,1.0,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20
0,0.0,0.0,17,1.0,1.0,1.0,3,2,5.0,3.0,1.0,1.0,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2
0,0.0,1.0,18,0.0,1.0,1.0,3,3,2.0,3.0,4.0,2.0,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0
1,0.0,1.0,17,0.0,0.0,1.0,5,4,4.0,2.0,1.0,1.0,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14
1,0.0,1.0,17,1.0,0.0,0.0,5,5,1.0,2.0,1.0,1.0,2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2
0,0.0,1.0,16,0.0,0.0,1.0,5,4,1.0,2.0,1.0,1.0,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0
1,0.0,1.0,16,0.0,1.0,1.0,5,5,3.0,3.0,1.0,1.0,1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0
0,0.0,0.0,18,0.0,1.0,1.0,3,2,2.0,2.0,1.0,3.0,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0
1,0.0,1.0,16,0.0,1.0,1.0,3,2,2.0,2.0,1.0,1.0,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,6
1,0.0,1.0,17,0.0,1.0,1.0,3,4,2.0,2.0,1.0,2.0,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,4
0,0.0,1.0,22,0.0,1.0,1.0,4,2,3.0,3.0,2.0,1.0,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16
0,0.0,1.0,18,1.0,0.0,1.0,4,4,2.0,3.0,1.0,1.0,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8
1,0.0,1.0,16,0.0,1.0,1.0,1,3,2.0,2.0,2.0,1.0,1,1,0,0,0,1,0,0,1,1,0,4,3,2,2,4,5,0
0,0.0,1.0,18,0.0,1.0,1.0,4,3,3.0,2.0,1.0,1.0,2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0
0,0.0,1.0,16,0.0,1.0,1.0,4,4,5.0,2.0,4.0,3.0,3,2,0,1,1,0,0,0,1,1,0,5,3,3,1,3,2,6
0,0.0,1.0,18,0.0,1.0,1.0,3,2,3.0,3.0,2.0,1.0,1,1,1,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4
0,0.0,1.0,16,1.0,1.0,1.0,3,2,2.0,2.0,1.0,1.0,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,0
1,0.0,1.0,17,1.0,1.0,1.0,3,2,2.0,2.0,1.0,1.0,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0
0,0.0,1.0,17,0.0,0.0,1.0,2,2,4.0,2.0,1.0,1.0,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2
1,0.0,0.0,17,0.0,0.0,1.0,5,3,1.0,3.0,4.0,1.0,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6
0,0.0,1.0,19,0.0,0.0,0.0,5,4,3.0,5.0,4.0,1.0,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12
1,0.0,1.0,18,0.0,1.0,1.0,3,2,2.0,2.0,3.0,1.0,1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,8
0,0.0,0.0,17,0.0,0.0,1.0,3,3,3.0,3.0,1.0,2.0,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0
1,0.0,0.0,18,0.0,1.0,1.0,5,4,3.0,2.0,3.0,2.0,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21
